impactType,impactTitle,impactNumber,impactPercentage
REGION,GLOBAL,95616758,48.6
REGION,AFRICA,29178096,12.9
REGION,ASIA,45599722,23.2
REGION,EUROPE,14617614,7.4
REGION,AMERICAS,7884893,4
REGION,MIDDLE EAST,3890967,2
DISSEMINATION,WEBSITE,1393503,0.7
DISSEMINATION,EMAIL,54105,0
DISSEMINATION,SOCIAL MEDIA,130325869,66.2
DISSEMINATION,TEXTS,13565780,6.9
DISSEMINATION,PRINT MEDIA,455785,0.2
DISSEMINATION,RADIO,30639629,15.6
DISSEMINATION,VIDEO,2385860,1.2
DISSEMINATION,WEBINAR,42388,0
DISSEMINATION,OTHERS,1546203,0.8
DISSEMINATION,PSA,5028708,2.6
DISSEMINATION,SCHOOL-BASED,91900,0
DISSEMINATION,PHONE-BASED,29205,0
DISSEMINATION,CASE-WORKERS,8064787,4.2
DISSEMINATION,FAITH-BASED,3164328,1.6
