languageCode,languageName,tipSheetNumber,title
en,English,1,One on One Time
en,English,2,Keeping it Positive
en,English,3,Structure Up
en,English,4,When Children Misbehave...
en,English,5,Keep calm and managing stress
en,English,6,Talking about Covid-19
en,English,7,Keeping Children Safe Online
en,English,8,Family Budgeting In Times Of Financial Stress
en,English,9,Family Harmony At Home
en,English,10,Learning Through Play
en,English,11,When We Get Angry
en,English,12,Parenting In Crowded Homes And Communities
en,English,13,Tips For Children With Disabilities
en,English,14,Tips For Parenting Teens
en,English,15,Parenting A New Baby
af,Afrikaans,1,Een - tot - Eentyd
af,Afrikaans,2,Hou Dit Positief
af,Afrikaans,3,Skep struktuur!
af,Afrikaans,4,Slegte Gedrag
af,Afrikaans,5,Bly Kalm en Beheer Stres
af,Afrikaans,6,Praat oor COVID-19
ar,Arabic,1,???  ??? ???? ?? ???
ar,Arabic,2,?????? ???   ?????????
ar,Arabic,3,??????? ????????
ar,Arabic,4,   ? ? ??????? ?????? ?? COVID-19
ar,Arabic,5,???? ??? ????? ?????? ?? ????? ???????
ar,Arabic,6,????/????  ???
ar,Arabic,7,?????? ??? ???? ??????? ?? ??????
ar,Arabic,8,????????? ??????? ?? ????? ???????
ar,Arabic,9,?????? ?????? ?? ?????
ar,Arabic,10,??????? ?? ???? ?????
ar,Arabic,11,????? ????
ar,Arabic,12,?????? ?? ???? ???????? ??????
ar,Arabic,13,????? ??????? ??? ?????????? ?????? 
ar,Arabic,14,????? ?????? ?????????
ar,Arabic,15,?? ??? ???? ?????
