languageType,languageCode,languageName,tipSheetNumber,title
1,en,English,1,One on One Time
1,en,English,2,Keeping it Positive
1,en,English,3,Structure Up
1,en,English,4,When Children Misbehave...
1,en,English,5,Keep Calm and Managing Stress
1,en,English,6,Talking about Covid-19
1,en,English,7,Keeping Children Safe Online
1,en,English,8,Family Budgeting In Times Of Financial Stress
1,en,English,9,Family Harmony At Home
1,en,English,10,Learning Through Play
1,en,English,11,When We Get Angry
1,en,English,12,Parenting In Crowded Homes And Communities
1,en,English,13,Tips For Children With Disabilities
1,en,English,14,Tips For Parenting Teens
1,en,English,15,Parenting A New Baby
1,en,English,16,Education and Remote Learning
1,af,Afrikaans,1,Een - tot - Eentyd
1,af,Afrikaans,2,Hou Dit Positief
1,af,Afrikaans,3,Skep str3,sn,Isishona/Shonatuur!
1,af,Afrikaans,4,Slegte Gedrag
1,af,Afrikaans,5,Bly Kalm en Beheer Stres
1,af,Afrikaans,6,Praat oor COVID-19
1,gu,Gujarat/ગુજરાતી,1,ગણવત્તાસભર સમય
1,gu,Gujarat/ગુજરાતી,2,સકારાત્મક રહવે ં ુ
1,gu,Gujarat/ગુજરાતી,3,રોજિંદા કાર્યોની નવેસરથી યાદી બનાવો!
1,gu,Gujarat/ગુજરાતી,4,ખરાબ વર્તન
1,gu,Gujarat/ગુજરાતી,5,શાંત રહો અને તણાવનં સં ુ ચાલન કરો
1,gu,Gujarat/ગુજરાતી,6,COVID-19 વિશે વાત કરવી
2,gu,ગુજરાતી/Gujarat,1,ગણવત્તાસભર સમય
2,gu,ગુજરાતી/Gujarat,2,સકારાત્મક રહવે ં ુ
2,gu,ગુજરાતી/Gujarat,3,રોજિંદા કાર્યોની નવેસરથી યાદી બનાવો!
2,gu,ગુજરાતી/Gujarat,4,ખરાબ વર્તન
2,gu,ગુજરાતી/Gujarat,5,શાંત રહો અને તણાવનં સં ુ ચાલન કરો
2,gu,ગુજરાતી/Gujarat,6,COVID-19 વિશે વાત કરવી
1,jp,Japanese/日本語,1,子どもと一対一の時間
1,jp,Japanese/日本語,2,いつも前向きに
1,jp,Japanese/日本語,3,ルーティンを作る
1,jp,Japanese/日本語,4,もし「悪い子になったら」
1,jp,Japanese/日本語,5,落ち着いて、ストレスと向き合おう
1,jp,Japanese/日本語,6,新型コロナウィルス感染症について話そう
2,jp,日本語/Japanese,1,子どもと一対一の時間
2,jp,日本語/Japanese,2,いつも前向きに
2,jp,日本語/Japanese,3,ルーティンを作る
2,jp,日本語/Japanese,4,もし「悪い子になったら」
2,jp,日本語/Japanese,5,落ち着いて、ストレスと向き合おう
2,jp,日本語/Japanese,6,新型コロナウィルス感染症について話そう
1,ka,Georgian/ქართული,1,ერთად ყოფნის დრო
1,ka,Georgian/ქართული,2,შეინარჩუნეთ პოზიტიურობა!
1,ka,Georgian/ქართული,3,დაგეგმეთ!
1,ka,Georgian/ქართული,4,ცუდი ქცევა
1,ka,Georgian/ქართული,5,იყავით მშვიდად და მართეთ სტრესი
1,ka,Georgian/ქართული,6,საუბრები COVID 19-ის შესახებ
1,ka,Georgian/ქართული,7,დავიცვათ ბავშვების უსაფრთხოება ონლაინ სივრცეში
1,ka,Georgian/ქართული,8,ოჯახის ბიუჯეტის შედგენა ფინანსური კრიზისის დროს
1,ka,Georgian/ქართული,9,ოჯახური ჰარმონია სახლში
1,ka,Georgian/ქართული,10,თამაშით სწავლა
1,ka,Georgian/ქართული,11,როდესაც ვბრაზობთ
1,ka,Georgian/ქართული,12,მშობლობა ხალხმრავალ სახლებში და თემებში
2,ka,ქართული/Georgian,1,ერთად ყოფნის დრო
2,ka,ქართული/Georgian,2,შეინარჩუნეთ პოზიტიურობა!
2,ka,ქართული/Georgian,3,დაგეგმეთ!
2,ka,ქართული/Georgian,4,ცუდი ქცევა
2,ka,ქართული/Georgian,5,იყავით მშვიდად და მართეთ სტრესი
2,ka,ქართული/Georgian,6,საუბრები COVID 19-ის შესახებ
2,ka,ქართული/Georgian,7,დავიცვათ ბავშვების უსაფრთხოება ონლაინ სივრცეში
2,ka,ქართული/Georgian,8,ოჯახის ბიუჯეტის შედგენა ფინანსური კრიზისის დროს
2,ka,ქართული/Georgian,9,ოჯახური ჰარმონია სახლში
2,ka,ქართული/Georgian,10,თამაშით სწავლა
2,ka,ქართული/Georgian,11,როდესაც ვბრაზობთ
2,ka,ქართული/Georgian,12,მშობლობა ხალხმრავალ სახლებში და თემებში
1,kh,Khmer/ភាសាខ្មែរ,1,Tip Sheet Number 1
1,kh,Khmer/ភាសាខ្មែរ,2,Tip Sheet Number 2
1,kh,Khmer/ភាសាខ្មែរ,3,Tip Sheet Number 3
1,kh,Khmer/ភាសាខ្មែរ,4,Tip Sheet Number 4
1,kh,Khmer/ភាសាខ្មែរ,5,Tip Sheet Number 5
1,kh,Khmer/ភាសាខ្មែរ,6,Tip Sheet Number 6
1,kh,Khmer/ភាសាខ្មែរ,7,Tip Sheet Number 7
1,kh,Khmer/ភាសាខ្មែរ,8,Tip Sheet Number 8
1,kh,Khmer/ភាសាខ្មែរ,9,Tip Sheet Number 9
1,kh,Khmer/ភាសាខ្មែរ,10,Tip Sheet Number 10
1,kh,Khmer/ភាសាខ្មែរ,11,Tip Sheet Number 11
1,kh,Khmer/ភាសាខ្មែរ,12,Tip Sheet Number 12
2,kh,ភាសាខ្មែរ/Khmer,1,Tip Sheet Number 1
2,kh,ភាសាខ្មែរ/Khmer,2,Tip Sheet Number 2
2,kh,ភាសាខ្មែរ/Khmer,3,Tip Sheet Number 3
2,kh,ភាសាខ្មែរ/Khmer,4,Tip Sheet Number 4
2,kh,ភាសាខ្មែរ/Khmer,5,Tip Sheet Number 5
2,kh,ភាសាខ្មែរ/Khmer,6,Tip Sheet Number 6
2,kh,ភាសាខ្មែរ/Khmer,7,Tip Sheet Number 7
2,kh,ភាសាខ្មែរ/Khmer,8,Tip Sheet Number 8
2,kh,ភាសាខ្មែរ/Khmer,9,Tip Sheet Number 9
2,kh,ភាសាខ្មែរ/Khmer,10,Tip Sheet Number 10
2,kh,ភាសាខ្មែរ/Khmer,11,Tip Sheet Number 11
2,kh,ភាសាខ្មែរ/Khmer,12,Tip Sheet Number 12
1,kk,Kazakh/Қазақ Tілі,1,Баламен жеке уақыт өткізу
1,kk,Kazakh/Қазақ Tілі,2,Позитивті көңіл-күйді ұстаныңыз
1,kk,Kazakh/Қазақ Tілі,3,Структура жасаңыз
1,kk,Kazakh/Қазақ Tілі,4,COVID-19 жайлы әңгіме
1,kk,Kazakh/Қазақ Tілі,5,Сабырлы болыңыз және Стрессті қолда ұстаңыз
1,kk,Kazakh/Қазақ Tілі,6,Жаман мінез-құлық
2,kk,Қазақ Tілі/Kazakh,1,Баламен жеке уақыт өткізу
2,kk,Қазақ Tілі/Kazakh,2,Позитивті көңіл-күйді ұстаныңыз
2,kk,Қазақ Tілі/Kazakh,3,Структура жасаңыз
2,kk,Қазақ Tілі/Kazakh,4,COVID-19 жайлы әңгіме
2,kk,Қазақ Tілі/Kazakh,5,Сабырлы болыңыз және Стрессті қолда ұстаңыз
2,kk,Қазақ Tілі/Kazakh,6,Жаман мінез-құлық
1,ku,Kurdish/Kurmancî,1,Demên taybet yên xwe û zarokê xwe
1,ku,Kurdish/Kurmancî,2,Bi pozatîvî bimîne
1,ku,Kurdish/Kurmancî,3,Karan li hev bîne!
1,ku,Kurdish/Kurmancî,4,Tevgerên nebaş
1,ku,Kurdish/Kurmancî,5,Aram be û bi ser stres û astengiyan de zal be
1,ku,Kurdish/Kurmancî,6,Axaftin li ser Coronayê
1,ku,Kurmancî/Kurdish,1,Demên taybet yên xwe û zarokê xwe
1,ku,Kurmancî/Kurdish,2,Bi pozatîvî bimîne
1,ku,Kurmancî/Kurdish,3,Karan li hev bîne!
1,ku,Kurmancî/Kurdish,4,Tevgerên nebaş
1,ku,Kurmancî/Kurdish,5,Aram be û bi ser stres û astengiyan de zal be
1,ku,Kurmancî/Kurdish,6,Axaftin li ser Coronayê
1,al,Albanian/Shqip,1,Koha individuale me secilin femije
1,al,Albanian/Shqip,2,Te qenit pozitiv (optimist)
1,al,Albanian/Shqip,3,Organizohuni!
1,al,Albanian/Shqip,4,Sjelljet e keqija
1,al,Albanian/Shqip,5,Ruani qetesine dhe menaxhoni stresin
1,al,Albanian/Shqip,6,Te flasim rreth COVID-19
1,al,Albanian/Shqip,7,Si t’ i mbani fëmijët të sigurt online
1,al,Albanian/Shqip,8,Buxhetimi familijar gjatë periudhës së stresit financiar
1,al,Albanian/Shqip,9,Harmonia familijare në shtëpi
1,al,Albanian/Shqip,10,Të nx ënit përmes lojërave
1,al,Albanian/Shqip,11,Kur ndihemi të inatosur
1,al,Albanian/Shqip,12,Prindërimi në dhe në komunitete me shumë anëtarë
1,al,Albanian/Shqip,13,Këshilla për fëmijët me aftësi të kufizuara Të
